frame,solvent,rg,hbonds,rmsd_to_water_medoid,rmsd_to_hexane_medoid,pc1,pc2,pc3,cluster
38,water,5.842550369991055,2.0,0.5448148641746787,3.04714011535426,-0.6414717979297087,1.177739801613236,-1.6041563941270283,4
39,water,5.873582114792004,1.0,0.6630525335068147,2.8829480897127797,-1.2207199404437412,1.340960398508354,0.23596648851620328,4
40,water,5.88374739943436,1.0,0.5429149364831812,2.8513462807873533,-0.889539481751358,1.413673301481588,-0.10255172940738845,4
41,water,5.8617771386419335,1.0,0.8273413890436616,2.7401462794254035,-0.17188121450122978,1.2667558395206202,0.42647480978303587,6
42,water,5.9209458603428065,2.0,0.5634917369100678,2.8053706378622763,-0.6542981345959373,1.1811301863527937,-0.7294797200962841,4
43,water,5.734156216716977,1.0,0.5882031540774528,3.2654911855611473,-0.6814537104029563,1.6786493356791452,-0.2842577893209368,4
44,water,5.825157447054715,2.0,0.6563832256962316,2.6422163983058033,-0.2765723213696078,1.1782763861171042,0.8646603730503686,4
45,water,6.179094907755007,1.0,0.8125238920429123,3.230030136082829,-0.7830392939171578,0.2854669386124749,0.7835074320657811,4
46,water,5.893588736710284,1.0,0.2602141730141107,3.2072081073412804,-0.8006057754866014,1.6657456445142411,-0.06790542883811367,4
47,water,6.105648022181643,1.0,0.6419947910007087,3.260918308081057,-0.8323826197772923,1.1289876041127345,0.8222897820276425,4
48,water,6.031170479368332,1.0,0.7355294769082653,3.323475386727007,-1.174673158908507,0.6543086001711025,0.2163537530799683,4
49,water,5.754758975543517,1.0,0.725417151610024,2.6374862805328765,-0.8147976401469386,1.7494770651973484,-0.3405787813106169,4
50,water,5.940972481287835,1.0,0.8203993191664343,3.352733842400803,-0.8336467669053557,1.3039095331976285,0.2562067080540529,6
51,water,5.931702033342234,1.0,0.6534129389760358,3.253229847743009,-0.5164623377089784,1.5290056389375868,-0.08823883875850172,6
52,water,6.169281166707193,1.0,0.767261841903264,3.47227027163008,-0.669643882574876,1.5474180323857456,0.5136150892111097,6
53,water,6.022860670886402,1.0,0.6512710327362177,2.9523286445029058,-0.640858524269179,1.2781159228538723,0.8692428975855631,4
54,water,5.70148243481815,1.0,0.6595428186374631,2.74418512011444,-0.8914421890762761,1.5719867749953889,-0.30374676697469605,4
55,water,6.010232120726491,1.0,0.6247121985528414,3.1260205864932864,-0.7110295036323411,1.1660764299040256,0.08150517027383225,6
56,water,5.9083207904765125,1.0,0.6137383142084303,2.7900724444398186,-1.1305182246879695,1.4242704679570188,0.11013087231843277,4
57,water,5.851798542398905,1.0,0.4105938535178032,3.0523290790462054,-0.8094056902447615,1.3113657741076807,-0.06984191677423945,4
58,water,6.070477859924991,1.0,0.49237772023781756,3.1362665926720306,-0.6565583792606255,1.7323130178429513,-0.05974458524706068,4
59,water,5.915218420764525,1.0,0.6005437784062779,3.231472988144192,-0.35065522632184565,1.529541364185007,-0.10706179718725847,6
60,water,6.051555167613447,0.0,1.9106716509009156,3.0769205014507426,0.8534266496054345,0.2799569288212,0.3335447503718514,1
61,water,6.529806407288917,0.0,1.6765225420143315,3.5534479065015265,-2.005594574761095,-1.0139144173992742,0.10243197720010705,9
62,water,6.403268913811684,0.0,2.0945677085608243,4.292059349052263,-2.499915792020869,-1.3015952950671252,-0.2593010869407858,2
63,water,6.153347363137172,1.0,1.4347528927707287,3.156007107639817,-2.2239930498622207,-1.3427019092861519,-0.16613564312946394,7
64,water,6.599408368075475,0.0,1.7262438557245643,3.6877589767374195,-2.1772287984652463,-1.312303903795704,0.03125141757502861,9
65,water,6.027244186371617,1.0,1.3163391433400289,3.191175356013594,-2.1950793975389713,-1.320476268061199,-0.32582113358559806,7
66,water,6.274352905736594,0.0,1.4862616425186448,3.2807392112921523,-2.2730211024185243,-1.3672955169791425,-0.3609007242772849,7
67,water,6.588901237532661,0.0,1.5694647865174247,3.6080443511558276,-1.9936055018229353,-1.2821471902594015,0.09248522985734015,9
68,water,6.10807930523725,1.0,1.3858538890697414,3.6490126103424547,-2.2147035801252213,-1.3339410674976484,-0.1190220326523792,7
69,water,6.372313739008405,1.0,1.1712490460144305,3.496145791341293,-1.8950922901857896,-1.1677844713723973,-0.2191877149320869,9
70,water,6.190974841268497,0.0,1.3875177735613684,3.0990571876333584,-1.5248162904904166,-1.4898958702728289,0.8776101466371935,8
71,water,6.5852171704733315,0.0,1.540869193898488,3.8415465631708043,-1.9232707233906075,-1.4053554250403097,0.18696429467083897,9
72,water,6.711309443907928,0.0,1.565534445209096,3.7625629475646893,-1.6660696918208604,-1.1479503564669167,0.016433934002150458,9
73,water,6.543782089913668,0.0,1.4889365454612862,3.8610185225594953,-2.0870340185753897,-1.209075726652049,-0.1315910337309804,9
74,water,6.05276402284882,0.0,1.4187886353343306,3.166956549876598,-2.111688351746107,-1.1454954804388557,0.07461676861895028,7
75,water,5.882519145354957,1.0,1.4518036381146304,2.8738500793137067,-2.034344019715624,-1.353635610617733,0.20239823003062157,7
76,water,6.223762861086025,1.0,1.3363986966476031,3.0688327013727617,-1.9284518764856937,-1.4656125850015786,0.15069418468101198,8
77,water,6.338910891801119,1.0,1.5375178689822053,3.21004528326172,-1.9585397066046473,-1.4597231866390648,-0.0504019372196053,8
78,water,6.119732100583651,1.0,1.315203227395354,3.5165776255369496,-2.160098827153284,-1.1326318296417524,0.04719904561980967,7
79,water,6.302621508104123,0.0,1.2528816905238802,3.598475663371102,-2.2898540291931333,-1.4629557946654361,-0.17318075426821905,7
80,water,6.175796335463567,0.0,1.2817977535715863,3.293214073810538,-2.2094256074074625,-1.4135127856403333,0.035186900737182586,7
81,water,6.486092825493064,0.0,1.3852026879655024,3.5468439345030447,-2.1745688002459898,-1.4404168634614067,-0.018772609091775444,9
82,water,6.181633708945605,1.0,1.5173920172638244,3.1059716869196325,-2.347647627062286,-1.275972169192016,-0.2263838646978775,7
83,water,6.260618292644809,1.0,1.2750424250030739,3.393027327420603,-2.2227699256003395,-1.4023501064903745,-0.052838967498066325,7
84,water,6.124606519614472,1.0,1.4974399509495295,3.3054244026720103,-2.2401409984517655,-1.3482583136252448,-0.08354574929543962,7
85,water,6.147535865570343,1.0,1.4878088782875325,3.591067780492845,-2.315953650370075,-1.2065030854859835,-0.2711454451673041,7
86,water,6.316787434223571,0.0,1.3985792178440182,3.33619573660053,-1.9517214368999594,-1.1300621299290163,-0.1458901434292846,9
87,water,6.461016232111204,0.0,1.4174797729720556,3.5532797607216278,-2.056605128135153,-0.9397210358436014,0.028411105343848914,9
88,water,6.432258972165586,0.0,1.5606182289253683,3.9904230650912402,-2.048000494836061,-1.1778969010240967,-0.020652618483375185,9
89,water,6.198186697119919,1.0,1.3543971964200845,3.344332518390927,-2.1157870965606063,-1.2359144781560243,0.022144769156912325,7
90,water,5.8122009413725815,1.0,1.6348133504035165,3.0316235156252684,-2.29575747176092,-1.5970987902370901,-0.23584670043414274,7
91,water,6.026264063980335,0.0,1.2757363807661262,3.5357414129751494,-2.1124737267642666,-0.9034914932639697,-0.1867082070183316,7
92,water,5.7761027181065865,1.0,1.6998249834131456,2.943790687681018,-2.31914216808219,-1.297745270824802,-0.16521029788780495,7
93,water,6.202594919440646,1.0,1.5141279658540094,3.240292253756211,-1.9081126582080152,-1.498451626162966,0.14477060187083007,8
94,water,6.553723131964263,0.0,1.4794763130630315,3.674883698960584,-1.903862516956011,-0.9763374534118747,0.22369502692300125,9
95,water,6.566752644113995,0.0,1.4286961966563296,3.8438582612603027,-2.251551578149471,-1.1130266991614903,-0.15236945112604489,9
96,water,6.068631688614812,1.0,1.5769312334199275,2.856968659736394,-1.7684753512364058,-1.2482162073051324,-0.2339007161949048,8
97,water,6.513130026244799,0.0,1.3400887703622948,3.9394097343734757,-1.9568932415233453,-0.9975013767975485,0.553745986019035,9
98,water,6.573020484798246,0.0,1.5440259162971357,3.782670745852123,-2.1699814442966088,-1.2487497133235135,0.0632276345911407,9
99,water,6.483519176962575,0.0,1.4608817902692952,3.527056446271787,-2.215368255823411,-1.2820027569305483,0.07242070013315322,9
100,hexane,5.231786604380765,3.0,3.1471411559201314,0.35544766754171775,1.4686209875666303,-0.5800352204439764,0.15396501612438185,10
101,hexane,5.162600539315253,3.0,2.9832694826006665,0.7903175348200087,0.8513872365751615,-0.2881325401386465,0.758499950845465,10
102,hexane,5.329775974675571,3.0,2.8276409510967633,0.7778995349890507,1.2380724627203445,-0.5260485783404119,1.0935185006921466,10
103,hexane,5.218073158616054,3.0,2.988365801376005,0.714719978286525,1.0989446438537418,-0.2788415566143435,0.3521735235165572,10
104,hexane,5.181525358327192,3.0,3.0797086035000216,0.37260356288113644,1.3574627049624182,-0.6401132335001763,0.19600072564806992,10
105,hexane,5.278006307222539,3.0,2.8932901969793066,0.4930424109828697,0.9459950593570848,-0.3659335157372271,0.3618641039390983,10
106,hexane,5.127444509376965,3.0,3.1223453984888536,0.28710410462291747,1.354760632386323,-0.5276055163531411,-0.47124056089480487,10
107,hexane,5.239275646353685,3.0,3.126472919809397,0.6478371249925904,1.2121728261288722,-0.5724771642478735,0.6559665933508566,10
108,hexane,5.095889131115115,3.0,3.207917775977874,0.449890751417095,0.9342986853523482,-0.2638785436074357,-1.2181086711946452,10
109,hexane,5.156836362717883,3.0,3.311423701976571,0.3983123040794348,1.4550610184703419,-0.541666704991756,0.3140235059899304,10
110,hexane,5.225882122569543,2.0,3.2772694320884797,0.5758160346256035,1.356642030681574,-0.770044489164854,0.46172094699668365,10
111,hexane,5.1410040408289195,2.0,3.1918586496955457,0.34650356417293693,1.2562975158461596,-0.2749887033464859,0.07869826349938175,10
112,hexane,5.209340412814344,2.0,3.527394843679737,0.8077194137077788,1.3635387974756452,-0.5476731741811055,0.6290028104985974,10
113,hexane,4.9851695821883135,3.0,3.340637895111022,0.5142011756309876,0.9404540275209287,0.16345053205804033,-0.15988483636344153,10
114,hexane,5.143486390439474,3.0,3.135607694506764,0.3648888903006451,1.4445061924121974,-0.24461862979923324,0.2579707377328447,10
115,hexane,5.0686575561238785,3.0,3.1889728791357994,0.2874124285445514,1.5874623265674956,-0.3849654216935869,-0.8325859771101359,10
116,hexane,5.048321171330157,3.0,3.291674978395167,0.470522441779101,1.0796309576798584,0.047578463576515684,0.012846285366655719,10
117,hexane,5.186661577287679,3.0,3.225388278637066,0.35226165897084216,1.3546151294867408,-0.6210697514620444,0.2921655734260035,10
118,hexane,5.127745544286763,3.0,3.1578863551644076,0.3274892347730088,1.261232271924337,-0.3086954017743833,-0.044974885005900134,10
119,hexane,5.102666320386047,3.0,3.1266350553810756,0.26170006144267705,1.4484274200439184,-0.33892581795282595,0.20888973262743382,10
120,hexane,5.061606416550425,3.0,3.3145718645190776,0.41491490997903324,1.0485262488058007,0.0092826820910199,0.5927718119910517,10
121,hexane,5.025189731153278,3.0,3.267943488783315,0.5654098690324647,1.0559156207813403,-0.26909639495191173,0.6711456495473945,10
122,hexane,5.254271218981753,3.0,3.280499238092882,0.4547351714759269,1.0482117243992515,-0.324742558737532,0.1873729916751346,10
123,hexane,5.199163414306792,3.0,2.9951187810006417,0.6734392839622346,0.9868886833446541,-0.5565530241659382,0.6368858813938544,10
124,hexane,5.238501152648153,2.0,3.042947659799394,0.46688979129014246,1.5070703652946542,-0.5551042486805498,-0.02573444860070065,10
125,hexane,5.370727177088227,3.0,3.09262741647834,0.6271515273543445,1.0630518044267667,-0.5858532192743684,-0.23430771837067033,10
126,hexane,5.05265787865555,3.0,3.164243522238666,0.272665397963631,1.225146367331487,-0.28288849993689075,-1.2485364369022247,10
127,hexane,5.2443035291381275,3.0,2.9310489539117683,0.575687073116319,1.4435829279589432,-0.7132661641320217,0.3855829361942199,10
128,hexane,5.145394647061542,4.0,2.9327544502185976,0.42638436250033834,1.4552487110523393,-0.5415916340934486,-1.115818588525597,10
129,hexane,5.072376924001312,4.0,3.2139022173623237,0.30618316025836945,1.067301713229063,-0.29854824967694754,-1.1790829858260785,10
130,hexane,5.174413057501214,2.0,3.4479156107622235,0.5353424415505162,1.2903683722363342,-0.261581439134307,0.8828256231275562,10
131,hexane,5.096702617557977,3.0,3.0851479240052773,0.2904306454725423,1.159666369856731,-0.03230265152444284,-0.38930901692731074,10
132,hexane,5.165508849538165,2.0,3.117013417087097,0.4383027955214528,0.873490106970315,-0.05187706186958618,-0.41787536559981303,10
133,hexane,5.224034324263882,3.0,3.0338553267640584,0.3190763903393268,1.2643848136667777,-0.38365053139043714,-0.24048836998154857,10
134,hexane,5.194567200738595,3.0,2.9833516971256806,0.44016298328558706,1.2748965327512507,-0.2337540233039645,0.13191372358918912,10
135,hexane,5.222487858649767,3.0,3.355191048661991,0.6322272525242093,1.217073929781035,-0.5035042673261162,0.8001561217908572,10
136,hexane,5.182481954450366,3.0,3.0634994148128065,0.4279285100956249,1.244534947936156,-0.09982895406794312,0.3910611936318418,10
137,hexane,5.102901081262464,2.0,3.057716598355583,0.2995829798855051,1.1129352315322212,-0.13117818729077085,-1.1495325967969645,10
138,hexane,4.998362686102694,4.0,3.341937475916142,0.6029318194837154,1.423198629307644,-0.4402852357229767,-0.7078555538574945,10
139,hexane,5.132767153070785,3.0,3.1660313610554973,0.3271774481094205,1.2219573690491088,-0.5103472637325414,0.7411960511590433,10
140,hexane,5.095288763304402,2.0,3.0351449311763767,0.3291933292380892,1.2297939609097437,-0.3854508764247217,-0.8118978598993227,10
141,hexane,5.102504851684602,3.0,3.110966889052852,0.0,1.4020487257627492,-0.3234746563139996,-0.4921771499299211,10
142,hexane,5.124021049177257,3.0,3.0830707222942255,0.2578998287281967,1.3040380142154575,-0.3766679560474525,0.21646287390135505,10
143,hexane,5.3118036382335205,3.0,2.8817974326505498,0.5497164748841361,1.189731049197984,-0.29769299882391903,0.7368185613392788,10
144,hexane,4.935384084336295,3.0,3.2849412101216346,0.5580268521314916,1.0797744729495369,-0.3756951129214985,-1.478296537193065,10
145,hexane,5.105794727555032,3.0,3.242606032331797,0.411063039377444,1.1616744123923755,-0.1419071135296083,-0.5813255535409736,10
146,hexane,5.016888749106872,2.0,3.113434817254869,0.30948757393410176,0.9649307583977148,-0.2092180953915828,-0.872630748775776,10
147,hexane,5.025525302525571,2.0,3.3938906482596,0.527291934751615,1.2825982170641828,0.0079307734862481,0.46060747527018886,10
148,hexane,5.086901437626311,3.0,3.2455356290264765,0.3798897808163346,1.1879843831764516,-0.047831756575562046,0.18188616365140287,10
149,hexane,5.0172675671581555,3.0,3.270961530669453,0.4783678045052804,1.1171947833592024,0.10838551782167682,0.4533514691560845,10
150,hexane,5.0724879280665975,4.0,3.139229744917556,0.34747927388762817,0.9440208092381478,-0.2703703031693045,-0.8449778745266887,10
151,hexane,5.088165765745482,3.0,3.2815671732308873,0.43786064034015637,1.032906620755612,-0.17605862093299698,-0.6283277033221731,10
152,hexane,5.026441951592883,1.0,3.351684141363641,0.5891869039249057,0.8652114101933471,0.28395960120311553,0.2708210878383367,10
153,hexane,5.037786747206698,4.0,3.4027319396735374,0.567497029010399,1.2941017666423593,-0.4489927993286638,-0.5371114235557333,10
154,hexane,5.25729040742816,3.0,2.9971180416834082,0.46067120796980926,1.3233383478938183,-0.5171460766376603,0.5125033943691293,10
155,hexane,5.162060328843928,2.0,3.1026345331574006,0.3037353572380899,1.1581314576076656,-0.5535033364450656,-0.08393946898312475,10
156,hexane,5.071616932502729,3.0,3.273242118264861,0.48041725709286826,1.2530180398055668,-0.1976386103150114,0.7162316703190691,10
157,hexane,4.992487965086098,3.0,3.420275361705872,0.5952501870275254,1.1762920278933877,-0.25279301512670616,-1.3227024517761614,10
158,hexane,5.180495339881175,3.0,3.0827642799953403,0.3575816064705237,1.2760670343832126,-0.4100826717690038,0.554516704109624,10
159,hexane,5.2732409500701465,2.0,3.1982665348222743,0.5483179130765897,1.5333899522653747,-0.512687219704708,0.40053458896199845,10
160,hexane,5.129196980694243,3.0,3.175896893180884,0.325663633840581,1.0100132156570458,-0.0688544612538663,-0.4597265030840716,10
161,hexane,5.05229411220028,3.0,3.2511286296961828,0.4154700829148223,1.1609490747445599,-0.20312173878725703,-0.571244719734745,10
162,hexane,5.150475668963757,2.0,3.210699777098554,0.3812002206804949,1.399092519030571,-0.4520782490787779,0.06007797169802381,10
163,hexane,5.348440991725199,3.0,3.104772704909816,0.5026781917272858,1.364893506953294,-0.5681766330305242,0.5222205526045708,10
164,hexane,5.371395591712829,3.0,3.129276959551992,0.7037340037895259,1.310958654428159,-0.618583775365092,0.717390735720645,10
165,hexane,5.121631728745696,3.0,2.972460595055541,0.3622873913408868,1.0140237470301283,-0.2320828066784147,-0.42015303621200756,10
166,hexane,5.138229012096475,1.0,3.152752459761044,0.3871105470127941,1.20516772518378,0.01259386678694735,-0.5074443782382487,10
167,hexane,5.145583240879087,3.0,2.9315051570791044,0.36555513745916,1.3382525033857409,-0.03779670661461282,0.5303657472453568,10
168,hexane,5.173642693954526,2.0,3.0515441283285067,0.24935062544893383,1.333897892106255,-0.03090344288873309,-0.01454690811089615,10
169,hexane,5.191731979563559,2.0,3.233510182058838,0.32137299944748177,1.6545084413465343,-0.603936622488948,0.14557735785871184,10
170,hexane,5.302638382667239,3.0,3.062289784466982,0.3677189011663085,1.4081382264820848,-0.41035481580477307,0.34703139013799467,10
171,hexane,5.070987366274139,3.0,3.3240860572302964,0.4862288965509923,1.2877441492213628,-0.2644456892398524,-0.6142004837186392,10
172,hexane,5.191355008171678,2.0,3.1566897714545514,0.35081226932863513,1.4630509386141934,-0.18799350396279849,-0.036243843881014814,10
173,hexane,5.033650588248738,3.0,3.3282749101959674,0.4514793596605604,1.4018424161557617,-0.35402459525786467,0.25399366010184965,10
174,hexane,5.238213061948519,3.0,3.1161276853406985,0.3569964338471646,1.5850649837604167,-0.6039098653148973,0.17964907653773882,10
175,hexane,5.223337565936665,3.0,3.0635408654407827,0.3581692514809176,1.1791553323612778,-0.13454115315366152,0.4395093093320509,10
176,hexane,5.151665343780345,3.0,3.0851177891735313,0.33417162651194715,1.2512271972849085,-0.23452627275189658,-0.38780339507035294,10
177,hexane,5.1214043115905055,3.0,3.10755170270676,0.2648323989970257,1.1697970909567128,-0.233208800877845,-0.4894738517039569,10
178,hexane,4.99730281669418,3.0,3.243152827548576,0.39494962184439747,1.059914145163103,-0.17337115040889697,-0.0496856073358362,10
179,hexane,5.127988366640491,2.0,3.394079842074448,0.6607269987603503,1.3587923722406265,-0.6312875736418677,-0.1305589519489232,10
180,hexane,5.165765418035626,3.0,3.2444003773018197,0.4829815172536381,1.339046322568258,-0.4553119454499926,-0.7199779669235387,10
181,hexane,5.184307456656487,4.0,3.426058932384178,0.6450287853347606,1.570855055633471,-0.7532207355133225,-0.533633757615359,10
182,hexane,5.104926662042057,3.0,3.225848043856537,0.41939547113442094,1.4472498032191856,-0.5685221632068713,-0.2695814371779176,10
183,hexane,5.136737240346358,3.0,3.2410213422343226,0.5352444921122295,1.3661229351835469,-0.43994967385075623,0.47691848515130797,10
184,hexane,5.053006783778187,3.0,3.439787236906169,0.6614641709825938,1.0116022491466943,-0.0008701351279009617,1.0170733218360797,10
185,hexane,5.172813244943902,2.0,3.1226710220649543,0.3942496108191343,1.5443465158843672,-0.7522053723185844,0.1360862845016264,10
186,hexane,4.955412102842867,2.0,3.49085875668419,0.7007462809432219,1.001029311580632,0.02538301071989202,0.03562448396472462,10
187,hexane,5.113437550338953,2.0,3.2822322749744357,0.4369203393079078,1.657133825317326,-0.44470458826270104,-0.32707054247465694,10
188,hexane,5.0544808128288885,3.0,3.2039251892017355,0.3691298180605001,1.2823282367529654,-0.17818110825867853,0.8352938485668788,10
189,hexane,5.2343022558916426,3.0,2.860240358989855,0.45085380016857507,1.4688285114547068,-0.38737910550863974,-0.1805687710172448,10
190,hexane,5.106342112658655,3.0,3.066272109539884,0.40765403128347383,1.121828580980925,-0.2205092165825872,-0.8244095813229005,10
191,hexane,5.178510414705504,2.0,3.0914394811052115,0.49481134827305046,0.9477089584691837,-0.14446392231528163,-1.0992086620639046,10
192,hexane,5.04048058108581,2.0,3.0367050521439705,0.35997814696323266,1.3668821079024132,-0.22883354229419323,-0.4125934477774811,10
193,hexane,5.255667645707096,2.0,3.02997477383568,0.3929393146448341,1.409719638086091,-0.3322297870725552,0.10916802318832175,10
194,hexane,5.287665957045104,3.0,3.1566949370041537,0.5976168391650024,1.2931442159764681,-0.30142944804270244,0.6209763415819521,10
195,hexane,4.995000606658488,2.0,3.340234164647108,0.5090464314507894,1.2185202798191432,-0.08926541299099228,0.214674756005017,10
196,hexane,5.260643500302556,2.0,3.353330075450924,0.4918433882024916,1.3001933497907339,-0.2510619197392438,-0.09855544564719454,10
197,hexane,5.127560147750972,2.0,3.0326750175531028,0.31435121116911,1.0609027571262981,-0.07239524308644085,0.07902161041662376,10
198,hexane,5.283034453465889,2.0,3.0797098176925783,0.45883427337099475,1.4001460305013884,-0.62036723599503,0.15930040960893393,10
199,hexane,5.044064236565683,3.0,3.328286102497995,0.5364149040975972,1.0402172793621425,-0.25577550629586104,0.9177700291850508,10
